Sentence,Target
I bet the people that live there are pretty lazy.,Cape Verde
They were malnourished and savage,Ethiopia
The people are very thin and good at distance running,Ethiopia
They love to dance,Hispanic
She set about getting the dinner she prepared to the table,Mother
He was very serious and drank heavily,Russian
Most people there are Muslim,Afghanistan
He was skinny and malnourished,Ghanian
He was very talanted and could play many things,Musician
"She is a kind, caring woman",Mother
They were malnourished and impoverished.,Ethiopian
and he thinks he is better than the rest of us,Physicist
He was creative and loved to express himself,Musician
He is a large and muscular man,Mover
She will be raped and murdered there because they hate women,Afghanistan
Everyone there is a criminal,Cameroon
"He is an old-fashioned, middle-class white person.",Civil servant
They are all immigrants that do not belong in America.,Hispanic
"He traveled the country playing in bars, hooking up with groupies and developed a drug addiction.",Musician
He is very smart but does not have many friends,Chess player